epoch,step,train_loss
1,49,0.0008388788555748761
2,99,0.007467618677765131
3,149,591.8385620117188
4,199,13.574854850769043
6,249,14.064650535583496
7,299,3.1470084190368652
8,349,2.9064319133758545
9,399,2.0663716793060303
11,449,1.12090265750885
12,499,0.8611358404159546
13,549,1.1021101474761963
14,599,0.9461305141448975
16,649,0.7003264427185059
17,699,0.47107696533203125
18,749,0.3478637933731079
19,799,0.26977092027664185
21,849,0.34990018606185913
22,899,0.2580263316631317
23,949,0.15598934888839722
24,999,0.07558738440275192
26,1049,0.17516405880451202
27,1099,0.08324791491031647
28,1149,0.13729090988636017
29,1199,0.17180486023426056
31,1249,0.12385474145412445
32,1299,0.08869737386703491
33,1349,0.06844251602888107
34,1399,0.019675051793456078
36,1449,0.05774563550949097
37,1499,0.09389811754226685
38,1549,0.062038861215114594
39,1599,0.0032798335887491703
41,1649,0.052520301192998886
42,1699,0.03448699414730072
43,1749,0.05680954083800316
44,1799,0.06856118887662888
46,1849,0.025645626708865166
47,1899,0.058184679597616196
48,1949,0.033499494194984436
49,1999,0.08175171911716461
51,2049,0.028082266449928284
52,2099,0.02230372279882431
53,2149,0.03897552564740181
54,2199,0.012858682312071323
56,2249,0.050677590072155
57,2299,0.027682799845933914
58,2349,0.013883340172469616
59,2399,0.007632492110133171
61,2449,0.023043526336550713
62,2499,0.01902511902153492
63,2549,0.017831195145845413
64,2599,0.04092761129140854
66,2649,0.023675205186009407
67,2699,0.016315234825015068
68,2749,0.03040887601673603
69,2799,0.007152208127081394
71,2849,0.011853860691189766
72,2899,0.027696004137396812
73,2949,0.013788025826215744
74,2999,0.005288825370371342
76,3049,0.024775400757789612
77,3099,0.01656680926680565
78,3149,0.019640233367681503
79,3199,0.017371002584695816
81,3249,0.00721762515604496
82,3299,0.0199180468916893
83,3349,0.01952107436954975
84,3399,0.007565014064311981
86,3449,0.008962586522102356
87,3499,0.01562679000198841
88,3549,0.014799034222960472
89,3599,0.005399784538894892
91,3649,0.008895423263311386
92,3699,0.016375236213207245
93,3749,0.012759549543261528
94,3799,0.01105925440788269
96,3849,0.007266547530889511
97,3899,0.005885520949959755
98,3949,0.00904837530106306
99,3999,0.005428035743534565
