epoch,step,train_loss
0,49,0.0033006647136062384
1,99,0.001877969829365611
2,149,0.0024347275029867887
3,199,0.002965697320178151
4,249,0.00339042698033154
5,299,0.0022912691347301006
6,349,0.0027644792571663857
7,399,5759.91943359375
8,449,2153.347900390625
9,499,126.4330825805664
10,549,60.079307556152344
11,599,32.10972595214844
12,649,34.779388427734375
13,699,22.224742889404297
14,749,22.000913619995117
15,799,13.049320220947266
16,849,8.669854164123535
16,899,8.513575553894043
17,949,9.614624977111816
18,999,6.226255416870117
19,1049,9.122121810913086
20,1099,6.600430488586426
21,1149,4.241852760314941
22,1199,3.978667974472046
23,1249,3.7958030700683594
24,1299,3.6127867698669434
25,1349,3.0053436756134033
26,1399,3.456728935241699
27,1449,2.3046205043792725
28,1499,1.9693037271499634
29,1549,1.906052827835083
30,1599,2.205857753753662
31,1649,1.7113224267959595
32,1699,1.9440100193023682
33,1749,1.4631019830703735
33,1799,2.434937000274658
34,1849,1.4021061658859253
35,1899,1.153106451034546
36,1949,1.3888874053955078
37,1999,1.4147958755493164
38,2049,1.4458982944488525
39,2099,1.7285540103912354
40,2149,0.9064025282859802
41,2199,1.008814811706543
42,2249,0.7954339385032654
43,2299,1.0869519710540771
44,2349,0.6876533627510071
45,2399,0.6217637658119202
46,2449,0.6503342986106873
47,2499,0.7127462029457092
48,2549,0.4908734858036041
49,2599,0.45601826906204224
49,2649,1.6598201990127563
50,2699,0.6352152824401855
51,2749,0.5803455710411072
52,2799,0.5746186971664429
53,2849,0.4174078702926636
54,2899,0.41571515798568726
55,2949,0.44110408425331116
56,2999,0.3413679599761963
57,3049,0.3020055890083313
58,3099,0.32296839356422424
59,3149,0.38430535793304443
60,3199,0.2992800176143646
61,3249,0.2812398374080658
62,3299,0.3889751136302948
63,3349,0.2439657747745514
64,3399,0.3240223526954651
65,3449,0.2686556279659271
66,3499,0.263480007648468
66,3549,0.22190934419631958
67,3599,0.2374730110168457
68,3649,0.2026832550764084
69,3699,0.17980484664440155
70,3749,0.13418185710906982
71,3799,0.1529858410358429
72,3849,0.15467795729637146
73,3899,0.11069215089082718
74,3949,0.16266824305057526
75,3999,0.1283901035785675
76,4049,0.21125566959381104
77,4099,0.12478481978178024
78,4149,0.16746100783348083
79,4199,0.11423038691282272
80,4249,0.08725587278604507
81,4299,0.11637809872627258
82,4349,0.1318942755460739
83,4399,0.10073798149824142
83,4449,0.07360632717609406
84,4499,0.07945610582828522
85,4549,0.056884292513132095
86,4599,0.0644368827342987
87,4649,0.08041708171367645
88,4699,0.057745277881622314
89,4749,0.06015460565686226
90,4799,0.0691758394241333
91,4849,0.044057998806238174
92,4899,0.06372309476137161
93,4949,0.05216570943593979
94,4999,0.06214815378189087
95,5049,0.08049396425485611
96,5099,0.058829326182603836
97,5149,0.05086485669016838
98,5199,0.05617779865860939
99,5249,0.03831575810909271
99,5299,0.03139563277363777
