epoch,step,train_loss
0,49,0.0033414189238101244
1,99,0.0026497317012399435
2,149,0.0031854307744652033
3,199,0.0034353050868958235
4,249,0.002847579773515463
5,299,37.65297317504883
6,349,589.6416015625
7,399,136.44418334960938
8,449,75.56072235107422
9,499,32.334869384765625
10,549,12.853309631347656
11,599,12.114108085632324
12,649,14.456768035888672
13,699,6.721097946166992
14,749,7.293317794799805
15,799,4.128876686096191
16,849,3.2048821449279785
16,899,4.068075180053711
17,949,3.170907735824585
18,999,2.700028657913208
19,1049,2.6519715785980225
20,1099,1.6858630180358887
21,1149,1.6760278940200806
22,1199,1.867108702659607
23,1249,1.5122134685516357
24,1299,1.0624533891677856
25,1349,1.5252437591552734
26,1399,1.476409673690796
27,1449,1.0194318294525146
28,1499,0.8438733220100403
29,1549,0.5036273002624512
30,1599,0.5451951026916504
31,1649,0.6677955985069275
32,1699,0.6439069509506226
33,1749,0.5801161527633667
33,1799,0.535699188709259
34,1849,0.5160765647888184
35,1899,0.34256240725517273
36,1949,0.27590858936309814
37,1999,0.4099002480506897
38,2049,0.3034801483154297
39,2099,0.3358321189880371
40,2149,0.25458648800849915
41,2199,0.1740155965089798
42,2249,0.24851903319358826
43,2299,0.23228859901428223
44,2349,0.16757670044898987
45,2399,0.13819414377212524
46,2449,0.12110976874828339
47,2499,0.1126248762011528
48,2549,0.16201628744602203
49,2599,0.12090642750263214
49,2649,0.18946336209774017
50,2699,0.10194812715053558
51,2749,0.07021456211805344
52,2799,0.08953730016946793
53,2849,0.08886254578828812
54,2899,0.10496440529823303
55,2949,0.04015149176120758
56,2999,0.056256018579006195
57,3049,0.06049780547618866
58,3099,0.042556002736091614
59,3149,0.04843725264072418
60,3199,0.039737313985824585
61,3249,0.04706574231386185
62,3299,0.03012022003531456
63,3349,0.03878699988126755
64,3399,0.023247743025422096
65,3449,0.02456585504114628
66,3499,0.017027657479047775
66,3549,0.033987857401371
67,3599,0.020263491198420525
68,3649,0.024333227425813675
69,3699,0.014305515214800835
70,3749,0.017279883846640587
71,3799,0.012050094082951546
72,3849,0.01537360344082117
73,3899,0.012557695619761944
74,3949,0.016319729387760162
75,3999,0.007712633349001408
76,4049,0.010666882619261742
77,4099,0.011919066309928894
78,4149,0.01276157796382904
79,4199,0.009006869047880173
80,4249,0.008488781750202179
81,4299,0.005521172657608986
82,4349,0.010041404515504837
83,4399,0.006428803317248821
83,4449,0.005958087742328644
84,4499,0.006941694300621748
85,4549,0.00761059857904911
86,4599,0.0036704668309539557
87,4649,0.0036815365310758352
88,4699,0.00487523665651679
89,4749,0.005255614873021841
90,4799,0.004698665346950293
91,4849,0.0031157005578279495
92,4899,0.004185386933386326
93,4949,0.0037967832759022713
94,4999,0.0038498134817928076
95,5049,0.0037169423885643482
96,5099,0.0039050718769431114
97,5149,0.0030143766198307276
98,5199,0.0020589679479599
99,5249,0.002984140068292618
99,5299,0.0030294291209429502
