epoch,step,train_loss
0,49,0.004223221447318792
1,99,0.0047902073711156845
2,149,0.003392998594790697
3,199,0.0017089295433834195
4,249,0.0023413249291479588
5,299,0.0038617984391748905
6,349,0.002807644195854664
7,399,0.0032173176296055317
8,449,0.0030270428396761417
9,499,0.0034793629311025143
10,549,0.0019313276279717684
11,599,0.0029975539073348045
12,649,0.0018481616862118244
13,699,0.002421498764306307
14,749,0.0022614982444792986
15,799,0.0021242888178676367
16,849,0.013806468807160854
16,899,0.006844974588602781
17,949,0.004447139333933592
18,999,0.0027945328038185835
19,1049,0.012874825857579708
20,1099,0.010093563236296177
21,1149,0.005661467090249062
22,1199,0.004199952352792025
23,1249,0.004111355636268854
24,1299,0.002224041149020195
25,1349,0.0033478005789220333
26,1399,0.003433851059526205
27,1449,0.003779370803385973
28,1499,0.002532993210479617
29,1549,0.003480771789327264
30,1599,0.0028184354305267334
31,1649,0.002399946330115199
32,1699,0.0022597634233534336
33,1749,0.005454749334603548
33,1799,0.006233375985175371
34,1849,0.07474282383918762
35,1899,0.006289064418524504
36,1949,0.03605377674102783
37,1999,0.006044529378414154
38,2049,0.005284574814140797
39,2099,0.012907138094305992
40,2149,0.0046661365777254105
41,2199,0.004408123902976513
42,2249,0.018677454441785812
43,2299,0.004432060290127993
44,2349,0.0037742534186691046
45,2399,0.003997087478637695
46,2449,0.0032371014822274446
47,2499,0.002924764296039939
48,2549,0.002025869209319353
49,2599,0.0027282051742076874
49,2649,0.0021096570417284966
50,2699,0.0036994193214923143
51,2749,0.0035331929102540016
52,2799,0.0023693956900388002
53,2849,0.002859619213268161
54,2899,0.0023027597926557064
55,2949,0.02863888442516327
56,2999,0.020309826359152794
57,3049,0.0038545560091733932
58,3099,0.004040403291583061
59,3149,0.008618878200650215
60,3199,0.0038061931263655424
61,3249,0.008446816354990005
62,3299,0.007629415486007929
63,3349,0.002364115323871374
64,3399,0.002928516361862421
65,3449,0.0029947080183774233
66,3499,0.0040005967020988464
66,3549,0.005072855390608311
67,3599,0.0037610128056257963
68,3649,0.01084147673100233
69,3699,0.003330675419420004
70,3749,0.002167848637327552
71,3799,0.0027895718812942505
72,3849,0.003230772912502289
73,3899,0.005019643809646368
74,3949,0.00482327351346612
75,3999,0.00593044888228178
76,4049,0.006272069178521633
77,4099,0.004450066015124321
78,4149,0.0030414641369134188
79,4199,0.003406440606340766
80,4249,0.004011618904769421
81,4299,0.007040287367999554
82,4349,0.08632826060056686
83,4399,0.01577652432024479
83,4449,0.006306073162704706
84,4499,0.0076409983448684216
85,4549,0.047128643840551376
86,4599,0.008997069671750069
87,4649,0.0047689322382211685
88,4699,0.008542723953723907
89,4749,0.0028740449342876673
90,4799,0.006437955889850855
91,4849,0.018787601962685585
92,4899,0.0035740952007472515
93,4949,0.004446948878467083
94,4999,0.01783546805381775
95,5049,0.01673114486038685
96,5099,0.0900237113237381
97,5149,0.02030816487967968
98,5199,0.006190497428178787
99,5249,0.00314917741343379
99,5299,0.004274806939065456
